index,category,image_url,product_url,title,writer,genre,is_exclusive,discount,sale_price,original_price,copies_sold,rating,review_count
89,default,https://doujin-assets.dmm.co.jp/digital/cg/d_534083/d_534083pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_534083/,避妊せずに毎日エッチしまくる田舎の日常終わらない中出しプレス,リフル,動画,True,50%OFF,990,1980,10514,,15
90,default,https://doujin-assets.dmm.co.jp/digital/cg/d_368956/d_368956pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_368956/,元AV女優のお姉さんと中だしし放題のラブラブな関係になった話,Umour,CG,True,95%OFF,50,990,23279,,11
91,default,https://doujin-assets.dmm.co.jp/digital/cg/d_692280/d_692280pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_692280/,高身長でスタイル抜群だけど無口でおとなしい会社の先輩〜職場に内緒でいちゃらぶ関係になって中出しセックスしまくった〜 The Motion Anime,survive more,動画,True,,,2750,44,,
92,default,https://doujin-assets.dmm.co.jp/digital/cg/d_703823/d_703823pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_703823/,異常な性欲を処理してもらえる券,ウォーターベリル,CG,False,10%OFF,495,550,149,,
93,default,https://doujin-assets.dmm.co.jp/digital/cg/d_156770/d_156770pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_156770/,母がソープに堕ちてました。〜何も知らない爆乳母は、熟れた身体で息子に奉仕する〜,子豚の館,CG,False,50%OFF,495,990,16799,,18
94,default,https://doujin-assets.dmm.co.jp/digital/cg/d_296195/d_296195pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_296195/,若い男は俺ひとり！？ ド田舎女子と のんびりセックスライフ,Tiramisu,CG,False,70%OFF,297,990,3118,,5
95,default,https://doujin-assets.dmm.co.jp/digital/cg/d_521656/d_521656pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_521656/,忍堕とし【動画＆コミックCG集版】,まろん☆まろん,CG,False,,,1980,19720,,11
96,default,https://doujin-assets.dmm.co.jp/digital/cg/d_669713/d_669713pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_669713/,女だけの町でモテまくり全員とセックスできる俺の日常,安楽街,CG,False,,,990,4604,,8
97,default,https://doujin-assets.dmm.co.jp/digital/cg/d_673702/d_673702pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_673702/,未熟な果実を種付け調教！！〜学生想いの童顔教師は悪徳淫靡の味を知る〜,ぴあすとらん,CG,False,,,770,349,,2
98,default,https://doujin-assets.dmm.co.jp/digital/cg/d_226664/d_226664pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_226664/,夢を操作する力を手に入れたお話 池垣姉妹編 後編,サークル影武者,CG,False,50%OFF,1100,2200,3454,,30
99,default,https://doujin-assets.dmm.co.jp/digital/cg/d_596816/d_596816pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_596816/,ボクだけの大人のおっぱいバブみ園,ぽこもぷれみあむ,動画,False,,,2090,7237,,15
